,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
arena_maps_mimicstemple_name,Mimic's Temple,,,,,,,Świątynia Mimików,,,,,,
arena_maps_mimicstemple_description,An arena based off the Temple of Mimics.,,,,,,,Arena oparta na Świątyni Mimików,,,,,,
arena_maps_foundry_name,Hiisi Foundry,,,,,,,Odlewnia Hiisi,,,,,,
arena_maps_foundry_description,What kind of wands did they make here?,,,,,,,Co oni tu robili?,,,,,,
arena_cosmetics_gold_dust_name,Gold Dust,,,,,,,Złoty Pyłek,,,,,,
arena_cosmetics_gold_dust_description,Glitter really gets everywhere!,,,,,,,Brokat naprawdę włazi wszędzie!,,,,,,
arena_cosmetics_ogre_mask_name,Ogre Mask,,,,,,,Maska Ogra,,,,,,
arena_cosmetics_ogre_mask_description ,Unique cosmetic for Xytio.,,,,,,,Specjalny przedmiot dla Xytio.,,,,,,
arena_cosmetics_tanksy_hat_name,Tanksy Hat,,,,,,,Czapka Tanksy'ego,,,,,,
arena_cosmetics_tanksy_hat_description,Unique cosmetic for Tanksy,,,,,,,Specjalny przedmiot dla Tanksy.,,,,,,
arena_cosmetics_propeller_hat_name,Propeller Hat,,,,,,,Czapka ze Śmigiełkiem,,,,,,
arena_cosmetics_propeller_hat_description,Note: Will not help you fly.,,,,,,,Uwaga: Nie pomoże ci w locie!,,,,,,
arena_cosmetics_alias_mask_name,aliasbSus,,,,,,,,,,,,,
arena_cosmetics_alias_mask_description,Unique cosmetic for Aliasbot,,,,,,,Specjalny przedmiot dla Aliasbot.,,,,,,
arena_cosmetics_fish_hat_name,Joel,,,,,,,,,,,,,
arena_cosmetics_fish_hat_description,[Unlocked by killing 15 players while wet],,,,,,,[Odblokowany poprzez zabicie 15 graczy podczas bycia mokrym],,,,,,
arena_cosmetics_dexter_joel_name,Joel x2,,,,,,,,,,,,,
arena_cosmetics_dexter_joel_description,Unique cosmetic for Dextercd,,,,,,,Specjalny przedmiot dla Dextercd.,,,,,,
arena_cosmetics_fish_hat_2_name,Suureväkäs,,,,,,,,,,,,,
arena_cosmetics_fish_hat_2_description,[Unlocked by killing 30 players while wet],,,,,,,[Odblokowany poprzez zabicie 30 graczy podczas bycia mokrym],,,,,,
arena_cosmetics_birthday_hat_name,Party Hat,,,,,,,Czapka Imprezowa,,,,,,
arena_cosmetics_birthday_hat_description,It is your birthday today.,,,,,,,Dziś są twoje urodziny.,,,,,,
arena_cosmetics_bowler_hat_name,Black Bowler Hat,,,,,,,Czarny Melonik,,,,,,
arena_cosmetics_bowler_hat_description,"What is this, 1930?",,,,,,,"Co to ma być, 1930?",,,,,,
arena_cosmetics_bowler_hat_brown_name,Brown Bowler Hat,,,,,,,Brązowy Melonik,,,,,,
arena_cosmetics_bowler_hat_brown_description,Ah they come in other colors too!,,,,,,,"Oh, macie inne kolory?",,,,,,
arena_cosmetics_bowler_hat_green_name,Green Bowler Hat,,,,,,,Zielony Melonik,,,,,,
arena_cosmetics_bowler_hat_green_description,Green.. Interesting choice.,,,,,,,Zielony... interesujący wybór!,,,,,,
arena_cosmetics_bowler_hat_pink_name,Pink Bowler Hat,,,,,,,Różowy Melonik,,,,,,
arena_cosmetics_bowler_hat_pink_description,Looks like something the queen would have worn.,,,,,,,Tę czapkę mogłaby nosić sama Królowa!,,,,,,
arena_cosmetics_bowler_hat_red_name,Red Bowler Hat,,,,,,,Czerwony Melonik,,,,,,
arena_cosmetics_bowler_hat_red_description,Stained with the blood of your enemies.. or red dye.,,,,,,,Zabarwiona krwią twych wrogów... lub barwnikiem.,,,,,,
arena_cosmetics_construction_hat_name,Yellow Hard Hat,,,,,,,Żółty Kask,,,,,,
arena_cosmetics_construction_hat_description,Earthquakes are guaranteed.,,,,,,,Spodziewaj się trzęsień ziemi.,,,,,,
arena_cosmetics_construction_hat_blue_name,Blue Hard Hat,,,,,,,Niebieski Kask,,,,,,
arena_cosmetics_construction_hat_blue_description,Earthquakes are guaranteed.,,,,,,,Spodziewaj się trzęsień ziemi.,,,,,,
arena_cosmetics_construction_hat_white_name,White Hard Hat,,,,,,,Biały Kask,,,,,,
arena_cosmetics_construction_hat_white_description,Earthquakes are guaranteed.,,,,,,,Spodziewaj się trzęsień ziemi.,,,,,,
arena_cosmetics_crown_hat_name,Crown,,,,,,,Korona,,,,,,
arena_cosmetics_crown_hat_description,[Unlocked by getting 10 wins],,,,,,,[Odblokowana po wygraniu 10 rund],,,,,,
arena_cosmetics_crown_hat_2_name,Fancy Crown,,,,,,,Ozdobna Korona,,,,,,
arena_cosmetics_crown_hat_2_description,[Unlocked by getting 20 wins],,,,,,,[Odblokowana po wygraniu 20 rund],,,,,,
arena_cosmetics_crown_hat_3_name,Royal Crown,,,,,,,Królewska Korona,,,,,,
arena_cosmetics_crown_hat_3_description,[Unlocked by getting 30 wins],,,,,,,[Odblokowana po wygraniu 30 rund],,,,,,
arena_cosmetics_crown_hat_4_name,Imperial Crown,,,,,,,Imperialna Korona,,,,,,
arena_cosmetics_crown_hat_4_description,[Unlocked by getting 40 wins],,,,,,,[Odblokowana po wygraniu 40 rund],,,,,,
arena_cosmetics_detective_hat_name,Brown Detective Hat,,,,,,,Brązowy Kapelusz Detektywa,,,,,,
arena_cosmetics_detective_hat_description,What crime are we solving today?,,,,,,,Jakie zagadki dziś na nas czekają?,,,,,,
arena_cosmetics_detective_hat_black_name,Black Detective Hat,,,,,,,Czarny Kapelusz Detektywa,,,,,,
arena_cosmetics_detective_hat_black_description,What crime are we solving today?,,,,,,,Jakie zagadki dziś na nas czekają?,,,,,,
arena_cosmetics_detective_hat_green_name,Green Detective Hat,,,,,,,Zielony Kapelusz Detektywa,,,,,,
arena_cosmetics_detective_hat_green_description,What crime are we solving today?,,,,,,,Jakie zagadki dziś na nas czekają?,,,,,,
arena_cosmetics_ears_hat_name,White Fluffy Ears,,,,,,,Białe Puchate Uszka,,,,,,
arena_cosmetics_ears_hat_description,Woahg they're so fluffy,,,,,,,Ale puszyste!,,,,,,
arena_cosmetics_ears_hat_black_name,Black Fluffy Ears,,,,,,,Czarne Puchate Uszka,,,,,,
arena_cosmetics_ears_hat_black_description,Woahg they're so fluffy,,,,,,,Ale puszyste!,,,,,,
arena_cosmetics_ears_hat_blue_name,Blue Fluffy Ears,,,,,,,Niebieskie Puchate Uszka,,,,,,
arena_cosmetics_ears_hat_blue_description,Woahg they're so fluffy,,,,,,,Ale puszyste!,,,,,,
arena_cosmetics_ears_hat_brown_name,Brown Fluffy Ears,,,,,,,Brązowe Puchate Uszka,,,,,,
arena_cosmetics_ears_hat_brown_description,Woahg they're so fluffy,,,,,,,Ale puszyste!,,,,,,
arena_cosmetics_ears_hat_pink_name,Pink Fluffy Ears,,,,,,,Różowe Puchate Uszka,,,,,,
arena_cosmetics_ears_hat_pink_description,Woahg they're so fluffy,,,,,,,Ale puszyste!,,,,,,
arena_cosmetics_elk_boss_hat_name,Tapion Vasalli,,,,,,,,,,,,,
arena_cosmetics_elk_boss_hat_description,[Unlocked by getting a 5 winstreak.],,,,,,,[Odblokowany po wygraniu 5 rund z rzędu],,,,,,
arena_cosmetics_elk_hat_name,Antlers,,,,,,,Poroże,,,,,,
arena_cosmetics_elk_hat_description,A pair of magestic antlers.,,,,,,,Para imponujących poroży.,,,,,,
arena_cosmetics_flatcap_hat_name,Brown Flat Cap,,,,,,,Brązowa Płaska Czapka,,,,,,
arena_cosmetics_flatcap_hat_description,A simple woolen flat cap.,,,,,,,Prosta drewniana czapka.,,,,,,
arena_cosmetics_flatcap_hat_black_name,Black Flat Cap,,,,,,,Czarna Płaska Czapka,,,,,,
arena_cosmetics_flatcap_hat_black_description,A simple woolen flat cap.,,,,,,,Prosta drewniana czapka.,,,,,,
arena_cosmetics_flatcap_hat_blue_name,Blue Flat Cap,,,,,,,Niebieska Płaska Czapka,,,,,,
arena_cosmetics_flatcap_hat_blue_description,A simple woolen flat cap.,,,,,,,Prosta drewniana czapka.,,,,,,
arena_cosmetics_flatcap_hat_grey_name,Grey Flat Cap,,,,,,,Szara Płaska Czapka,,,,,,
arena_cosmetics_flatcap_hat_grey_description,A simple woolen flat cap.,,,,,,,Prosta drewniana czapka.,,,,,,
arena_cosmetics_grenade_hat_name,Kranuhiisi Mask,,,,,,,Maska Kranuhiisi,,,,,,
arena_cosmetics_grenade_hat_description,Wear the flesh of your enemies!,,,,,,,Brutalnie odebrana!,,,,,,
arena_cosmetics_healer_hat_name,Parantajahiisi Mask,,,,,,,Maska Parantajahiisi,,,,,,
arena_cosmetics_healer_hat_description,Medic!,,,,,,,Medyk!,,,,,,
arena_cosmetics_leprechaun_hat_name,Leprechaun Hat,,,,,,,Czapka Krasnoludka,,,,,,
arena_cosmetics_leprechaun_hat_description,Where did I hide the gold again?,,,,,,,Gdzie się podziało moje złoto?,,,,,,
arena_cosmetics_plumber_hat_name,Red Plumber Hat,,,,,,,Czerwona Czapka Hydraulika,,,,,,
arena_cosmetics_plumber_hat_description,Legally distinct italian plumber hat.,,,,,,,Czapka nie naruszająca żadnych praw autorskich.,,,,,,
arena_cosmetics_plumber_hat_green_name,Green Plumber Hat,,,,,,,Zielona Czapka Hydraulika,,,,,,
arena_cosmetics_plumber_hat_green_description,Legally distinct italian plumber hat.,,,,,,,Czapka nie naruszająca żadnych praw autorskich.,,,,,,
arena_cosmetics_plumber_hat_purple_name,Purple Plumber Hat,,,,,,,Purpurowa Czapka Hydraulika,,,,,,
arena_cosmetics_plumber_hat_purple_description,Legally distinct italian plumber hat.,,,,,,,Czapka nie naruszająca żadnych praw autorskich.,,,,,,
arena_cosmetics_plumber_hat_yellow_name,Yellow Plumber Hat,,,,,,,Żółta Czapka Hydraulika,,,,,,
arena_cosmetics_plumber_hat_yellow_description,Legally distinct italian plumber hat.,,,,,,,Czapka nie naruszająca żadnych praw autorskich.,,,,,,
arena_cosmetics_pylon_hat_name,Traffic Cone,,,,,,,Stożek Drogowy,,,,,,
arena_cosmetics_pylon_hat_description,"I drank the blood of some people, but the people were on drugs, and now I'm a wizaerd!",,,,,,,Ktoś pewnie go teraz szuka.,,,,,,
arena_cosmetics_sheriff_hat_name,Sheriff Hat,,,,,,,Kapelusz Szeryfa,,,,,,
arena_cosmetics_sheriff_hat_description,Yeehaw!,,,,,,,Wio!,,,,,,
arena_cosmetics_sheriff_hat_black_name,Black Sheriff Hat,,,,,,,Czarny Kapelusz Szeryfa,,,,,,
arena_cosmetics_sheriff_hat_black_description,Yeehaw!,,,,,,,Wio!,,,,,,
arena_cosmetics_sombrero_hat_name,Sombrero,,,,,,,,,,,,,
arena_cosmetics_sombrero_hat_description,Shades you from the hot sun.,,,,,,,Chroni w gorące słoneczne dni.,,,,,,
arena_cosmetics_sombrero_hat_alt_name,Sombrero,,,,,,,,,,,,,
arena_cosmetics_sombrero_hat_alt_description,Shades you from the hot sun.,,,,,,,Chroni w gorące słoneczne dni.,,,,,,
arena_cosmetics_straw_hat_name,Straw Hat,,,,,,,Słomiany Kapelusz,,,,,,
arena_cosmetics_straw_hat_description,"A hat made from straw, often used by farmers.",,,,,,,Bardzo popularny wśród farmerów.,,,,,,
arena_cosmetics_tiara_hat_name,Tiara,,,,,,,Diadem,,,,,,
arena_cosmetics_tiara_hat_description,A fancy tiara.,,,,,,,Przepiękna ozdoba.,,,,,,
arena_cosmetics_toimari_hat_name,Toimari Mask,,,,,,,Maska Toimari,,,,,,
arena_cosmetics_toimari_hat_description,You the boss now.,,,,,,,Teraz ty jesteś szefem!,,,,,,
arena_cosmetics_tophat_name,Top Hat,,,,,,,Cylinder,,,,,,
arena_cosmetics_tophat_description,A fancy top hat.,,,,,,,Czysta esktrawagancja.,,,,,,
arena_cosmetics_tophat_blue_band_name,Top Hat with blue band,,,,,,,Cylinder z Niebieską Wstążką,,,,,,
arena_cosmetics_tophat_blue_band_description,A fancy top hat.,,,,,,,Czysta esktrawagancja.,,,,,,
arena_cosmetics_tophat_green_band_name,Top Hat with green band,,,,,,,Cylinder z Zieloną Wstążką,,,,,,
arena_cosmetics_tophat_green_band_description,A fancy top hat.,,,,,,,Czysta esktrawagancja.,,,,,,
arena_cosmetics_tophat_purple_band_name,Top Hat with purple band,,,,,,,Cylinder z Purpurową Wstążką,,,,,,
arena_cosmetics_tophat_purple_band_description,A fancy top hat.,,,,,,,Czysta esktrawagancja.,,,,,,
arena_cosmetics_tophat_brown_name,Brown Top Hat,,,,,,,Brązowy Cylinder,,,,,,
arena_cosmetics_tophat_brown_description,A fancy top hat.,,,,,,,Czysta esktrawagancja.,,,,,,
arena_cosmetics_tophat_purple_name,Purple Top Hat,,,,,,,Purpurowy Cylinder,,,,,,
arena_cosmetics_tophat_purple_description,A fancy top hat.,,,,,,,Czysta esktrawagancja.,,,,,,
arena_cosmetics_welder_hat_name,Welding Mask,,,,,,,Maska Spawacza,,,,,,
arena_cosmetics_welder_hat_description,Safety first.,,,,,,,Bezpieczeństwo ponad wszystko.,,,,,,
arena_cosmetics_wizard_hat_name,Wizard Hat,,,,,,,Kapelusz Czarodzieja,,,,,,
arena_cosmetics_wizard_hat_description,Improves your magic by 0%,,,,,,,Podnosi twoją siłę magiczną o 0%,,,,,,
arena_cosmetics_amulet_name,Golden Amulet,,,,,,,Złoty Amulet,,,,,,
arena_cosmetics_amulet_description,[Unlocked by vanilla requirements],,,,,,,[Odblokowany za osiągnięcia w grze],,,,,,
arena_cosmetics_amulet_gem_name,Amulet of Yendor,,,,,,,Amulet Yendoru,,,,,,
arena_cosmetics_amulet_gem_description,[Unlocked by vanilla requirements],,,,,,,[Odblokowany za osiągnięcia w grze],,,,,,
arena_cosmetics_crown_secret_name,Crown,,,,,,,Korona,,,,,,
arena_cosmetics_crown_secret_description,[Unlocked by vanilla requirements],,,,,,,[Odblokowana za osiągnięcia w grze],,,,,,
arena_cosmetics_blue_fire_name,Blue Fire,,,,,,,,,,,,,
arena_cosmetics_blue_fire_description,I think your hair is on fire.,,,,,,,,,,,,,
arena_cosmetics_trans_glitter_name,Pastel Glitter,,,,,,,,,,,,,
arena_cosmetics_trans_glitter_description,Yes this is just trans flag colors,,,,,,,,,,,,,
arena_cosmetics_haunted_name,Haunted,,,,,,,,,,,,,
arena_cosmetics_haunted_description,Spooky ghosts!,,,,,,,,,,,,,
arena_cosmetics_fury_hat_name,FuryForged,,,,,,,,,,,,,
arena_cosmetics_fury_hat_description,Unique cosmetic for FuryForged,,,,,,,,,,,,,
arena_release,Release,,,,,,,,,,,,,
